"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Celtics lead #Sixers by 1 after first. 

22-21",FALSE,0,NA,2018-05-07 22:32:21,FALSE,NA,"993619574330396673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GuyBostonSports",0,FALSE,FALSE,NA,NA
"2","Boston 22 - Phila 21 - Fin 1er QT
Brown 5min 5pts
Celtics 26% au tir (6/20)
Embiid 5pts 5rebs
Redick 7pts",FALSE,0,NA,2018-05-07 22:32:21,FALSE,NA,"993619573424435201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bente_ben",0,FALSE,FALSE,NA,NA
"3","Let’s go Celtics.",FALSE,0,NA,2018-05-07 22:32:20,FALSE,NA,"993619570446528514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TendentiousG",0,FALSE,FALSE,NA,NA
"4","if Larkin is hurt I’ll be LIVID.. #Celtics",FALSE,0,NA,2018-05-07 22:32:20,FALSE,NA,"993619567653027840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","echoesofniall",0,FALSE,FALSE,NA,NA
"5","@celtics make it happen https://t.co/OJifi348Ep",FALSE,0,"celtics",2018-05-07 22:32:20,FALSE,NA,"993619567200079874","18139461","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","R_Gmcfly",0,FALSE,FALSE,NA,NA
"6","It’s really great that I can definitely 100% be watching this very important #celtics game right now and have nothi… https://t.co/9kz6yW6KzR",FALSE,0,NA,2018-05-07 22:32:19,TRUE,NA,"993619566331879424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BretEditor",0,FALSE,FALSE,NA,NA
"7","@demas6Basket Notaste que cuando lo tuiteaste..hubo un run de los celtics?",FALSE,0,"demas6Basket",2018-05-07 22:32:19,FALSE,"993616477264777222","993619565035835397","1575870144","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camilo_lc",0,FALSE,FALSE,NA,NA
"8","#Celtics",FALSE,0,NA,2018-05-07 22:32:18,FALSE,NA,"993619560719896576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","n00b_Cactus",0,FALSE,FALSE,NA,NA
"9","Los celtics y la lesiones una historia de amor duradera",FALSE,0,NA,2018-05-07 22:32:18,FALSE,NA,"993619559293779969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KinderPablo17",0,FALSE,FALSE,NA,NA
"10","#Celtics couldn’t buy a bucket and they are up 1 in a closing game. I will take that. #CUsRise #ItsNotLuck",FALSE,0,NA,2018-05-07 22:32:17,FALSE,NA,"993619554524975107",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThisIsJayPratt",0,FALSE,FALSE,NA,NA
"11","Celtics lead by 1 after one quarter. It wasn't pretty for anyone. JJ Redick leads the game with 7 points.",FALSE,3,NA,2018-05-07 22:32:14,FALSE,NA,"993619543913304064",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Liberty_Ballers",0,FALSE,FALSE,NA,NA
"12","Tatum comes out the game and Celtics look so ugly on offense.",FALSE,0,NA,2018-05-07 22:32:14,FALSE,NA,"993619543133229058",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Real_Pat_S",0,FALSE,FALSE,NA,NA
"13","End of 1Q: #Sixers 21 - #Celtics 22",FALSE,0,NA,2018-05-07 22:32:13,FALSE,NA,"993619540138516480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SixersNews0719",0,FALSE,FALSE,NA,NA
"14","@celtics If we sweep 76ers with our g league team brad stevens needs to be immediately inducted into the HOF. 

#CELTICS",FALSE,1,"celtics",2018-05-07 22:32:12,FALSE,"993619509880803330","993619537168756737","18139461","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realaronwicz",0,FALSE,FALSE,NA,NA
