"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@General_MP @cleelove @GeeSteelio @EJChristian7 @TaeDaReBirPH @ALCarrollWJCL @jeolmoz2 @realjdobypr @TheSoTG‚Ä¶ https://t.co/MhfUEQvZzT",FALSE,0,"General_MP",2018-05-07 22:44:44,TRUE,"993531735299297280","993622688261386241","191857258","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeffreyNewholm",0,FALSE,FALSE,NA,NA
"2","Sixers really?",FALSE,0,NA,2018-05-07 22:44:42,FALSE,NA,"993622682800402432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sabrina11925",0,FALSE,FALSE,NA,NA
"3","Can you imagine dedicating you‚Äôre entire life to coaching, finally getting your big break with the Sixers and you‚Äôr‚Ä¶ https://t.co/9mbpGEygqy",FALSE,0,NA,2018-05-07 22:44:42,TRUE,NA,"993622682737479680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeMarre",0,FALSE,FALSE,NA,NA
"4","@ZERTZ_86 @sixers Hey Zach, how you doin, say hi to my daughter @Sarbeaarr she is your biggest fan, saw you both ga‚Ä¶ https://t.co/qs8evOLRRu",FALSE,0,"ZERTZ_86",2018-05-07 22:44:42,TRUE,"993618235722469376","993622680363520001","350020705","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","philsfanatic",0,FALSE,FALSE,NA,NA
"5","Why tf the Sixers dnt put Fultz and Holmes in the game Ì†æÌ¥∑Ì†ºÌøø‚Äç‚ôÇÔ∏è",FALSE,0,NA,2018-05-07 22:44:42,FALSE,NA,"993622679319179264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LibLansky7st",0,FALSE,FALSE,NA,NA
"6","@CutonDime25 @sixers You‚Äôre still loved here my bro! I like the way you root!!!",FALSE,0,"CutonDime25",2018-05-07 22:44:41,FALSE,"993620261923639297","993622677540794369","166718532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrleysath",0,FALSE,FALSE,NA,NA
"7","The Sixers have made like 3 shots all game",FALSE,0,NA,2018-05-07 22:44:41,FALSE,NA,"993622677406605312",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","skrefetz",0,FALSE,FALSE,NA,NA
"8","Layups, layups, layups!! Come on sixers!",FALSE,0,NA,2018-05-07 22:44:41,FALSE,NA,"993622676831965184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coachjessb",0,FALSE,FALSE,NA,NA
"9","The Sixers have to have the lowest layup % in the playoffs
@jelynchjr @shandershow",FALSE,0,NA,2018-05-07 22:44:40,FALSE,NA,"993622673635840001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JohnBG82",0,FALSE,FALSE,NA,NA
"10","Stevens trusts the rook. Tatum hanging in there with 3 fouls. 6 min left in the 2nd. #Celtics #Sixers",FALSE,0,NA,2018-05-07 22:44:37,FALSE,NA,"993622661585620993",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AndrewRGFine",0,FALSE,FALSE,NA,NA
